timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:25:58.019, 17.34 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:59.020, 17.20 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:00.033, 17.24 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:01.037, 17.24 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:02.047, 17.54 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:03.048, 17.51 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:04.065, 17.42 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:05.080, 17.46 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:06.096, 17.50 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:07.100, 17.36 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:08.101, 17.45 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:09.103, 17.87 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:10.117, 17.83 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:11.118, 17.86 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:12.134, 17.56 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:13.135, 17.53 W, 33, 187 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:14.136, 17.38 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:15.141, 17.23 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:16.149, 17.34 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:17.150, 17.20 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:18.151, 17.26 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:19.154, 17.26 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:20.162, 17.32 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:21.164, 17.17 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:26:22.178, 17.17 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
